"author","question"
"Data Scientist at Pulse Data was asked..."," A lot of probability questions"
"Data Scientist at CKM Advisors was asked..."," Walk through the idea and code behind a technical project that you've worked on."
"Data Scientist Phd at Etsy was asked..."," How do you know if the data are overfitted? "
"Data Scientist Phd at Etsy was asked..."," What’s Bayesian Logistic Regression?"
"Data Scientist at Cambia Health Solutions was asked..."," resume questions and follow ups"
"Data Scientist at Affirm was asked..."," Does an ROC curve change if you square the outputs used to generate it?"
"Data Scientist at Rang Technologies was asked..."," Describe a situation when you used SAS."
"Data Scientist at Komodo Health was asked..."," Walk through a bayesian probability question theoretically then code in Python. "
"Data Scientist at Facebook was asked..."," What function in R allows you to select rows>"
"Data Scientist at Bluecore was asked..."," Build a personalized recommendation model."
"Data Scientist at ActionIQ was asked..."," data science challenge"
"Data Scientist at Nirvana Enterprises was asked..."," I was given different scenarios and asked, how would I solve it or approach the business problems as ""Data Scientist"". He helped me understand bigger picture and different possible approaches to solve the problem efficiently. "
"Data Scientist at AltX was asked..."," What's your employment status?"
"Data Scientist at Facebook was asked..."," What is data science?"
"Data Scientist at YOP IT Solutions was asked..."," More into Python coding"
"Data Scientist at Stash Invest was asked..."," Explain difference between bagging vs boosting"
"Data Scientist at Squarespace was asked..."," If we were to take our product international, what would you do?"
"Data Scientist at McKinsey & Company was asked..."," Previous experiences (very detailed) and why I'd like to join McKinsey"
"Data Scientist Internship at Annalect was asked..."," What project do you want to participate in any company?"
"Data Scientist at Bloomberg L.P. was asked..."," general questions about machine learning and C++"
"Senior Data Scientist at Transfix was asked..."," Describe the responsibilities etc. of your last role as if you were onboarding a new person."
"Senior Data Scientist at Lumos Labs was asked..."," take home assignment"
"Data Scientist at AdTheorent was asked..."," 1st data scientist: The wind question (below) but I had to go very in depth about why I would choose Monday or Tuesday and had to actually write out the equations and explain why which one is better. I also had a question about shuffling cards and I had think of a really efficient way to do it. The second interview had a lot of questions about Python and R like about what the data structures are and their definitions. I think I also had some questions about linear regression as well. "
"Data Scientist at CKM Advisors was asked..."," Given an ambiguous data set and corresponding business problem, how would I generally go about solving it, i.e. what steps would I first take?"
"Data Scientist at Aetna was asked..."," How would you prevent unnecessary ER visits."
"Data Scientist at Dataminr was asked..."," questions about the project. algorithm questions. High level interviews with executives."
"Data Scientist at Facebook was asked..."," SQL question: given a table of interaction between users (user_a | user_b | day), find number of users who had more than 5 interactions yesterday (assume there is only one unique interaction between a pair of users per day). Product Question: A user satisfaction survey was conducted for two groups of facebook users (each with 50 k sample size). Group1: who had enabled certain login security features Group 2: who had not enabled these security features. It was found that user satisfaction with group1 was 30% lower than with group 2. Why do you think so? Comment on how the survey was conducted?"
"Data Scientist at Bowery Farming was asked..."," The take-home consisted of a dataset and some open-ended questions. It was pretty fun in the end, and seemingly representative of standard problems one would encounter in the day-to-day."
"Data Scientist at AIG was asked..."," How to tell the difference between classifiers. what is the difference between Lasso and Ridge regression?"
"Data Scientist at Capital One was asked..."," What's the distribution looks like of the number of daily trips in NYC"
